equipment_id,locatie,equipment_type,nr,measurement_type,metingen
MT01,Hal 1,mix,01,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 0, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 10, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 6, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
MT02,Hal 1,mix,02,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 2, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 32, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 28, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
MT03,Hal 1,mix,03,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 4, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 54, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 50, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
MT04,Hal 1,mix,04,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 6, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 76, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 72, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
MT05,Hal 1,mix,05,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 8, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 98, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 94, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
MT06,Hal 1,mix,06,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 10, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 120, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 116, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
MT07,Hal 1,mix,07,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 12, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 142, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 138, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
MT08,Hal 1,mix,08,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 14, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 164, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 160, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
MT09,Hal 1,mix,09,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 16, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 186, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 182, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
MT10,Hal 1,mix,10,tank_data,"{""temperature"": {""db_nummer"": 7, ""start_adres"": 18, ""grootte"": 2, ""datatype"": ""INT"", ""multiplier"": 0.1}, ""weight"": {""db_nummer"": 87, ""start_adres"": 208, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}, ""volume"": {""db_nummer"": 87, ""start_adres"": 204, ""grootte"": 4, ""datatype"": ""REAL"", ""multiplier"": 1}}"
